Soru,Cevap
İnsanın ve gelişmiş hayvanların türsel varlığının tehlikeye atılmaması normu aşağıdakilerden hangisine aittir?,"Bazı çevre etikçileri şimdiki kuşakların gelecek kuşaklara karşı yükümlülüklerinin neler olduğunu gösteren pratik etik kodları bile hazırlamıştır. Bu tür kodlardan birinde şu normlar yer almaktadır:
• İnsanın ve gelişmiş hayvanların türsel varlığının tehlikeye atılmaması, bütün bir canlılar âleminin bir bütün olarak birarada yaşamasını sağlama"
"İnsan hakları tarihi açısından ortaçağı önemli kılan hususlardan birisi, daha sonra yapılacak olan insan hakları sözleşmelerine esas olan özgürlüklerin kazanılması, en azından talep edilmesi olmuştur. Bunlar içinde en bilineni ..................................
Yukarıdaki boşluğa aşağıdakilerden hangisi gelir?","İnsan hakları tarihi açısından ortaçağı önemli kılan hususlardan birisi, daha sonra yapılacak olan insan hakları sözleşmelerine esas olan özgürlüklerin kazanılması, en azından talep edilmesi olmuştur. Bunlar içinde en bilineni Magna Carta‘dır. Magna Carta esasında soylulara ayrıcalık tanıyan bir berattır ancak keyfi tutuklamanın
önlenmesi, seyahat özgürlüğü gibi hakları içermektedir. Tarihsel önemi belgesel öneminden büyüktür. Manga
Carta ve benzeri diğer beratlar, belli sınıflara ayrıcalık tanısa da merkezi iktidarın sınırlandırılması yönünde tarihsel duraklardır. Doğru cevap C'dir."
"I.  İnsan akıl varlığı olduğu kadar bir duygu varlığıdır. 
II. Değerler bağımsız bir varlığa sahiptirler. 
III. İnsanda değerleri bilmeyi sağlayan özel bir sezgisel bilinç vardır.
Değerler Etiği (Fenomenolojik Etik) düşüncesini savunan bir kişi için yukarıdakilerden hangisi veya hangileri doğrudur? ","Değerler Etiği (Fenomenolojik Etik) düşüncesine göre insan, akıl varlığı olduğu kadar, hatta ondan da önce, bir duygu varlığıdır. Bu düşünceye göre değerler nesnelere göre değişmezler, yani bağımsız bir varlığa sahiptirler. İnsanda da, değerleri bilmeyi sağlayan özel bir sezgisel bilinç vardır. Doğru yanıt e seçeneğidir. "
"Aşağıdakilerden hangileri ikincil kuşak haklardandır?
I. Dinlenme hakkı
II. Sağlık hakkı
III. Parasız eğitim hakkı
IV. Gelişme hakkı","Bu haklar,
• Çalışma hakkı
• Sendika kurma hakkı
• Grev ve toplu sözleşme yapma hakkı
• Dinlenme hakkı
• Sosyal güvenlik hakkı
• Parasız eğitim hakkı
• Sağlık hakkı
• Konut hakkı
• Beslenme hakkı
• Korunmaya muhtaç kişilerin korunması
hakkı………. olarak sıralanabilir."
Geleneksel meslek anlayışına göre meslek edinme yolu aşağıdakilerden hangisidir?,Geleneksel meslek anlayışına göre meslek edinme yolu olarak babadan çocuğa intikal veya usta-çırak ilişkisiyle öğrenme usulleri geçerlidir. Doğru cevap D'dir.
Aşağıdakilerden hangisi doğrudan mesleki ilgiye sahip meslek etiği örneklerinden biridir?,"Doğrudan mesleki ilgiye sahip meslek etiğinin başlıca örnekleri; iş etiği, tıp etiği ve bilim etiğidir."
1789'da yayınlanan Fransız İnsan ve Vatandaş Hakları Bildirisi kaç maddeden oluşmaktadır?,"Fransız devrimi sonucu ilan edilen Bildiri, berrak akıcı bir dille yazılmıştır,
evrenseldir ve o dönemde Fransızca İngilizce ‘den daha yaygındır. 17 maddeden oluşur."
"Aşağıdakilerden hangisi ""ahlakilik""in özellikleri arasında gösterilemez?","Ahlakilik, belirli bir düzen fikri değil ilke sorunudur. Ahlaktan farklı olarak gelip geçici değildir; sürekliliği hedefler. Hatta görece olanın karşısında mutlak olana uğraşmayı amaçlar. Bu yönüyle de ampirik değil aklidir. Ahlakilik, bu anlamda bir karakter özelliğidir. Yani mutlak, değişmez birtakım ahlaki ilkelere uygun yaşamayı içselleştirme, alışkanlık haline getirme gayretinin ürünüdür. Doğru cevap ""E"" şıkkıdır."
Aşağıdakilerden hangisi doğrudan mesleki ilgiye sahip meslek etiği örneklerinden biridir?,"Doğrudan mesleki ilgiye sahip meslek etiği örnekleri; iş, bilim, tıp etikleridir. Doğru cevap B seçeneğidir."
"Avrupa İnsan Hakları Sözleşmesi'nin hangi maddesinde ""özgürlüğü yok etme özgürlüğü” kısıtlanmıştır?","Sözleşme, hakları düzenlemekle kalmamış, bu hakların sınırlarını da belirlemiştir. Buna göre; düzenlenen haklar, ulusal güvenlik, ülkenin ekonomik çıkarları, kamu sağlığı, genel ahlak, kamu düzeninin korunması gibi nedenlerle, yasal dayanağın
bulunması ve demokratik bir toplumda zorunlu önlemler niteliğinde olması koşullarına uyularak kısıtlanabilmektedir. Ayrıca 17. m ile “özgürlüğü
yok etme özgürlüğü”nü kısıtlamıştır."
"U¨cret karşılığı gerçekleştirilen çalışma, ödemeli bir pozisyon ya da istihdam hangi kavramın tanımıdır?",Cevap bulunamadı
Dayanışma hakları olarak da bilinen haklar aşağıdakilerden hangisidir?,Üçüncü kuşak haklar aynı zamanda dayanışma hakları olarak da bilinir. Buna göre doğru cevap E şıkkıdır.
Aşağıdakilerden hangisi üçüncü kuşak haklardan biridir?,"B, C, D ve E seçenekleri ikinci kuşak haklardır."
"I. Ahlak kavramı, bir düzen kavramıdır.
II. Ahlak kavramı, bir ilke kavramıdır.
III. Ahlak kavramı, içeriği doğrultusunda değişebilir.
Yukarıda ahlak kavramına ilişkin verilenlerden hangisi/hangileri doğrudur?","Ahlak kavramı, içeriği doğrultusunda değişebilir; ama ahlaka duyulan talep sabit kalır. Ahlak kavramı, bir düzen kavramıdır; ilke kavramı değildir. Doğru cevap ""E"" şıkkıdır."
"Sezgici etik teorilerinin en önemli temsilcisi, etik alanına analitik yaklaşımı sokan ve analitik veya meta-etik yaklaşımın da başlatıcısı kabul edilen düşünür kimdir?","Sezgici etik teorilerinin en önemli temsilcisi, etik alanına analitik yaklaşımı sokan ve analitik veya meta-etik yaklaşımın da başlatıcısı kabul edilen düşünür G. E. Moore'dur. "
Aşağıdakilerden hangisi tıp etiğinin belli başlı sorunları arasında yer alır?,Tıp etiğinin belli başlı sorunları arasında şu başlıklar yer alır:
Etik ve ahlakla ilgili aşağıdaki ifadelerden hangisi yanlıştır? ,"Etiğin konusunu oluşturan bir sorunun da kendiliğinden ahlâki nitelikte olduğu söylenemez. Her ne kadar etik, ahlâk üzerine eleştirel bir düşünme etkinliği ise de bu etkinliğin bizatihi kendisinin mutlaka ahlâki olması gerekmez. Bu anlamda etikle uğraşan bir kişi, konusunu oluşturan ahlâka belirli bir mesafeden bakabilmelidir. Nitekim bir etikçinin her bir eyleminde ahlâka uygunluğu gözettiği iddia edilemez. Zira bir felsefi düşünme etkinliği olan etik, aynı zamanda ahlâki bir etkinlik değildir. Dolayısıyla belirli bir etik düşünceye sahip kişinin, gündelik hayatında her zaman düşüncelerinin gereğini yerine getirdiği söylenemez."
Aşağıdakilerden hangisi Max Scheler’in Değerler Hiyerarşisinde yer almaz?,"Max Scheler’de Değerler Hiyerarşisi; Duyusal Değerler (haz alma-acı çekme), Yaşamsal
Değerler (faydalı-zararlı), Tinsel Değerler (estetik (güzel-çirkin), adalet (haklı-haksız), bilgi (doğru-yanlış)) ve Mutlak Değerler (kutsal-kutsal olmayan, sevgi-nefret, inançinançsızlık) olacak şekilde sınıflandırılmıştır. Doğru cevap D'dir."
Ahlak ve etik arasındaki temel fark kavramsal olarak hangi boyutta karşılaştırılmaktadır? ,"Ahlâk, çoğunlukla belirli bir insan topluluğunun üyeleri arasında geçerli olan veya olması istenen değer yargılarından müteşekkil bir kurallar manzumesidir. Bununla birlikte bazen de tek bir topluluğun veya grubun üyeleri için değil de herkes için bağlayıcı olan, genel anlamda iyi ve doğru kabul edilen birtakım ilke ve kurallara işaret edecek şekilde kullanılır. İlk anlamıyla ahlâk için
“bayramda büyükleri ziyaret etmek”, “büyüklerin karşısında ayak ayak üstüne atmamak”, “topluluk huzurunda yüksek sesle konuşmamak” vb. davranışlar
örnek verilebilir. İkinci anlamı ise “Yalan söylemek yanlıştır.”, “Verilen sözü tutmak gerekir.” ve “Zina yanlıştır.” gibi bir takım ilke veya kuralları
akla getirir. Nihayet üçüncü bir anlamıyla da ahlâk, belirli bir insan topluluğuna ait değer yargılarının da herkes için bağlayıcı olduğu düşünülen bir takım ilke
ve kuralların da ötesinde, her türlü yerleşik ahlâka aykırı olabilen, insanın “değeri”ni merkeze alan, her ne pahasına olursa olsun insanı ve insanın
onurunu yücelten eylem ve ilişki türleri için kullanılır. Bu anlamda ahlâk ne toplumsal ne de bireysel veya evrensel bir takım normlara işaret eder, bir eylemin veya ilişkinin özel ismidir. Bu noktada artık ahlâktan değil etikten bahsedebiliriz. Dolayısıyla söz konusu olan, “etik eylem”, “etik ilişki”dir."
"Sezgici etik teorilerinin en önemli temsilcisi, etik alanına analitik yaklaşımı
sokan ve analitik veya meta-etik yaklaşımın da başlatıcısı kabul edilen düşünür aşağıdakilerden hangisidir?","Sezgici etik teorilerinin en önemli temsilcisi, etik alanına analitik yaklaşımı
sokan ve analitik veya meta-etik yaklaşımın da başlatıcısı kabul edilen G. E. Moore’dur."
"Sosyal ve ekonomik haklar da denilen ikinci kuşak haklar; ağır hayat şartları, yoksulluk ve insani olmayan çalışma koşulları nedeniyle insanların çoğunluğunun birinci kuşak haklardan yararlanamamaları sonucu talep edilmeye başlanmıştır.
Buna göre aşağıdakilerden hangisi ikinci kuşak haklar (sosyal ve ekonomik haklar) arasında yer alır?",Verilen ifadede işgücüne erişime ve çalışanların haklarının savunulmasına vurgu yapılmaktadır. Doğru yanıt A seçeneğidir.   
Aşağıdakilerden hangisi ikinci kuşak haklardandır ?,"Sosyal ve ekonomik haklar da denilen ikinci kuşak haklar; ağır hayat şartları, yoksulluk ve insani olmayan çalışma koşulları nedeniyle insanların çoğunluğunun birinci kuşak haklardan yararlanamamaları sonucu talep edilmeye başlanmıştır.Bunlar;  Çalışma hakkı , Sendika kurma hakkı , Grev ve toplu sözleşme yapma hakkı , Dinlenme hakkı , Sosyal güvenlik hakkı , Parasız eğitim hakkı , Sağlık hakkı , Konut hakkı , Beslenme hakkı , Korunmaya muhtaç kişilerin korunması hakkı olarak sıralanabilir. "
"Aşağıdakilerden hangisi ""ahlakilik"" için doğru bir ifade değildir?","Belirli bir toplumda geçerli olan yaygın düşüncelere, inançlara, kanaatlere, gelenek ve göreneklere sorgusuz sualsiz uyan kişi, hakiki anlamda ahlâki yetkinliğe ulaşabilmiş değildir. Buna göre doğru cevap D şıkkıdır."
"Aşağıdakilerden hangisi insanın gözlemleme, karşılaştırma ve ilişkilendirme yetisine verilen addır?","İnsanın gözlemleme, karşılaştırma ve ilişkilendirme yetisine teorik akıl (nazari
akıl, kuramsal us) adı veirilir. Buna göre doğru cevap B şıkkıdır."
Aşağıdaki seçeneklerden hangisi felsefenin temel kategorilerindendir?,"Felsefenin temel kategorileri “varlık” ve “yokluk’tur. Bu yönüyle felsefi düşünce, neyin var olup neyin var olmadığını, varlık ve oluşu neyin belirlediğini, var olmanın ne anlama geldiğini, var olanların arasındaki ilişkileri, varlığın ilkelerini
soruşturur."
"Sezgici etik teorilerinin en önemli temsilcisi, etik alanına analitik yaklaşımı sokan ve analitik veya meta-etik yaklaşımın da başlatıcısı kabul edilen isim aşağıdakilerden hangisidir?","Sezgici etik teorilerinin en önemli temsilcisi, etik alanına analitik yaklaşımı sokan ve analitik veya meta-etik yaklaşımın da başlatıcısı kabul edilen G. E. Moore’dur. Moore’a göre o güne kadar ahlâk felsefecilerinin, ortaya attıkları ahlâkla ilgili soruları cevaplamada başarısız olmalarının sebebi, “Ne tür eylemleri yerine getirmeliyiz?” sorusu ile “Ne tür şeyler bizatihi mevcut olmalıdırlar?” sorusunu birbirine karıştırmalarıdır. Doğru cevap B'dir."
Barış etiğinin temel ilkesi aşağıdaki seçeneklerden hangisidir?,"Barış etiği aslında, temel ilkesi adalet olan bir siyasal etiktir."
Aşağıdaki tanımlardan hangisi teorik akılı tanımlamaktadır?,"Felsefe tarihinde insanın bu asli özellikleri dikkate alınarak iki tür akıldan bahsedilmesi genel bir eğilim olmuştur. Buna göre gözlemleme, karşılaştırma
ve ilişkilendirme yetisine teorik akıl (nazari akıl, kuramsal us) buna karşılık tasarlama, planlama, tercihte bulunma yetisine ise pratik akıl (ameli
akıl, kılgısal us) denilmiştir."
"Ahlak felsefesinin temel işlevinin, ""olandan çok olması gereken ile ilgilenmek"" olduğunu savunan meta-etik teorisi seçeneklerden hangisidir?","Ahlâk felsefesinin temel işlevinin, ‘betimleyici’ değil de ‘buyurucu’ yani ‘kural koyucu’ yargılar aracılığıyla ne yapmamız gerektiğini bildirmek olduğunu,
dolayısıyla ‘olan’dan çok ‘olması gereken’le ilgilendiğini savunan kural koyucu etik teorisinin kökleri Hume, Kant ve Mill’den Sokrates, Platon ve Aristoteles’e kadar uzanır."
Meslek kavramı ile ilgili olarak aşağıda verilen ifadelerden hangisi yanlıştır?,"Meslek kişinin salt kendi doyumu için değil, aynı zamanda başkalarına yararı için de yapılan bir uğraştır. Örneğin bir doktor mesleğini sadece para için değil, insanlara sağlıklarının kazandırmak için de yapar. A, C, D ve E seçeneklerinde verilen ifadeler doğru bilgiyi içermektedir. Doğru cevap B'dir."
"Aşağıdakilerden hangisi ""dış dünyada varlığı olmayan, dolayısıyla herhangi bir nesneyle doğrudan ilişkilendirilemeyen, bu anlamda kendi nesnesini yaratan, buna karşılık onu düşünene bağlı olmayan, yani öznel değil de nesnellik özelliğine sahip bir düşüce"" şeklinde tanımlanan kavramdır?",Doğru cevap C şıkkıdır. Diğer seçenekler konuya ilişkin değildir.
Stoacıların görüşlerini Roma’ya taşıyan düşünür aşağıdakilerden hangisidir?,Stoacıların görüşleri Cicero aracılığıyla Roma’ya taşınmış ve doğal hukuk tartışması uzun yıllar hem hukukçuları hem de yöneticileri meşgul etmiştir.
"Aşağıdakilerden hangisi Jellinek tarafından ""negatif statü hakları"" olarak değerlendirilmiştir?","Klasik hakların en önemli özelliği, kişiye devletin  dokunamayacağı ve müdahale edemeyeceği özel bir alan yaratmasıdır. Devlete olumsuz bir yükümlülük; özel alana girmeme, karışmama yükümlülüğü yükleyen bu haklara Jellinek “negatif statü hakları” demektedir. Jellinek, siyasi katılıma dair hakları, oy hakkı, siyasi parti kurma, partilere üye olma gibi haklara “aktif statü hakları” demektedir."
Mesleklerde farklılaşma ve çeşitlenme yaratan kavramsal dönem aşağıdakilerden hangisidir?,Cevap bulunamadı
