Soru,Cevap
Boşanma davası neredeki mahkemede açılır?,"Bu sebeplerden biri ile verilecek boşanmaya ilişkin gerekçeli(uzun) karar taraflara tebliğ edilir, taraflarca süresinde temyiz edilmeyen(üst mahkemeye gönderilmeyen) karar kesinleşir, kararı veren mahkemenin yazı işleri müdürlüğü kararı kesinleştiği tarihten itibaren 30 gün içinde mahkemenin yazı işleri müdürlüğünün bulunduğu yer Nüfus Memurluğuna gönderir. Oradan da kocanın kayıtlı olduğu yer nüfusuna gönderilir."
Boşanma davasının sonuçları nelerdir?,"Medeni Kanunumuzun 166. Maddesinin birinci fıkrası uyarınca evlilik birliğinin temelinden sarsılması; ortak hayatın çekilmez hale gelmesi ve evliliğin en az bir yıl sürmesi halinde eşlerin evliliğin sonuçları hususunda her konuda (velayet, malların paylaşımı, maddi, manevi tazminat ve nafaka vs) anlaştıklarını açıklayan protokolü mahkemeye sunmaları ve bir tarafın açtığı davayı diğerinin kabul etmesiyle tarafların duruşmaya katıldıkları ilk ve tek duruşma ile sonuçlanır."
Maddi tazminatın tespitinde hangi esaslar baz alınır?,"Özel vekalet çıkarılır, vekalette boşanma hususu açıkça yazar ve vekalete yakın tarihli fotoğrafınız yapıştırılır, mahkemeye vekaletin aslı sunulur."
Manevi tazminatın tespitinde hangi esaslar baz alınır?,"Boşanma  davalarında görevli mahkeme, aile mahkemeleri olup aile mahkemelerinin kurulmadığı yerlerde aile ile ilgili işlerle görevlendirilen mahkeme görevlidir."
Boşanma davasında mahkeme harcı matbu mu nısbi mi belirlenir?,"Yetkili mahkeme, eşlerden birinin yerleşim yeri ya da eşlerin son 6 ayda birlikte oturdukları yer; -davalının yerleşim yeridir."
Boşanma davasında avukat tutmak mecburi midir?,"Boşanma davası sonucunda, taraflar kişisel durumlarını korur (erginlik, kayın hısımlığı, vatandaşlık gibi), kadın eşin soyadı değişir ve baba soyadını alır, taraflar birbirlerinin mirasçısı olma sıfatlarını kaybederler, dava sürerken davacının ölümü halinde, mirasçılar davaya devam edebilir, mal rejimi sona erer, kusursuz veya daha az kusurlu eş maddi tazminat  kazanır, kişilik hakkı saldırıya uğrayan eş ise manevi tazminat kazanır, maddi tazminat istemi katkı payına ilişkinse harca tabidir yine ekonomik durumu iyi olmayan tarafa daha az kusurlu olması halinde nafaka bağlanır, dava süresince bağlanan nafakaya tedbir, kararın kesinleşmesinden sonra devam eden nafakaya ise yoksulluk nafakası denir ayrıca müşterek çocuk varsa velayet üzerinde olan eş çocuğun bakımına katılım için nafaka talep edebilir, dava süresince bu nafakaya tedbir, kararın kesinleşmesinden itibaren iştirak nafakası denilmektedir, taraflar kişisel mallarını mal rejimi sona ermeden, tasfiye söz konusu olmadan da isteyebilir."
Ekonomik anlamda desteği olmayan kişilerin hukuki yardım almak için başvurabilecekleri bir kurum var mıdır?,"Maddi tazminat talep edebilmek için kişinin boşanma davası açması ya da alaeyhine açılmış boşanma davasını reddedip karşı boşanma davası açmış olması, boşanma davasının kabul edilmesi, birliğin boşanma ile sona ermesi, eşin mevcut ve beklenen menfaatlerinin zedelenmesi, isteyen eşin daha az kusurlu olması ve maddi tazminat talebinde bulunması gerekmektedir."
Boşanma davasında diğer eşin kusurlu olduğunun ispatı nasıl yapılabilir?,"Boşanma davasında talep edilen maddi tazminat harca tabi değildir sadece matbu dava harcı verilir, ancak talep edilecek miktarı, karşı tarafın ve sizin ekonomik durumlarınız, evlilik sürerken sürdürülen yaşam biçiminin ekonomik düzeyi belirleyici olacaktır."
"Boşanma davasında eşi adına kayıtlı gayrimenkulün tapuda iptali ile kendi adına tescilini talep eden eş, gayrimenkulün devri sırasındaki tapu masraflarından ve diğer eşin devre yanaşmaması karşısında dava açmaktan kurtulmak için bu hususu mahkemeden nasıl talep etmelidir?","Manevi tazminat talebinde bulunabilmek için, boşanmaya sebep olan olaylar yüzünden kişilik hakları saldırıya uğramış olmalı zarar ispat edilmeli, zarar talep edilmiş olmalı, boşanma davası açılmalı, boşanma ile sonuçlanmalı, kabul edilmeli, eş daha az kusurlu olmalıdır. Manevi tazminata toptan hükmedilir nafaka gibi aylık ödemeler halinde ödenmesine hükmedilmez, manevi tazminata TL olarak hükmedilir."
"Mahkeme tarafından lehinize ya da velayeti geçici olarak sizde olduğuna karar verilen çocuklarınız lehine hükmedilen tedbir nafakası, ödemekle yükümlü eş tarafından ödenmezse bu alacağın tahsili ne şekilde yapılır?","Boşanma davasında talep edilen manevi tazminat harca tabi değildir sadece matbu dava harcı verilir, ancak ayrı dava ile istenirse harca tabidir. Hukukumuzda zenginleşme yasağı olması nedeniyle hükmedilen tazminat miktarı zarar nispetinde makul miktarlarda olacaktır. Manevi tazminat miktarı ıslah edilemeyeceğinden dava dilekçesinde yazılan rakam daha sonra değiştirilemez."
"Mahkeme tarafından lehinize ya da velayeti geçici olarak sizde olduğuna karar verilen çocuklarınız lehine hükmedilen tedbir nafakası, ödemekle yükümlü eş tarafından ödenmezse ödemekle yükümlü eş aleyhine cezai takibat başlatabilir miyiz?","Boşanma davasında mahkeme masrafları matbudur, yani tazminat ve nafaka taleplerinizin miktarı ne olursa olsun sadece davaya dair her boşanma davasında boşanma davası açan tüm kişilerle aynı dava ücretini ödersiniz, ancak kanun değişikliğinden sonra tanık ve sair masraflar artık davanın başında ödenmektedir dolayısıyla eskisine nazaran ödeyeceğiniz ücret daha fazladır."
"Velayet kendisine verilmeyen taraf, diğer eşin kendisine mahkemece kabul edilen görüşme günlerinde müşterek küçüğü göstermemesi halinde çocuğu ile görüşme hakkı engellenen taraf hangi hukuki yollara başvurabilir?","Avukat tutmak mecburi değildir, davanın kazanılması usuli sürecin doğru yönetilmesine ve ispat kurallarına bağlı olduğundan bir vekiliniz olması işlerinizi kolaylaştıracaktır."
"Boşanma davası sırasında maddi ve/veya manevi tazminat ya da kendisi ve /veya velayet kendisinde olan küçük için nafaka istememiş eş, boşanma davası kesinleştikten sonra bu istemlerde bulunabilir mi?","İstanbul Barosu, Adli Yardım Merkezi çatısı altında avukatlık hizmetinden yararlanmak için maddi olanağı bulunamayanlara, Kadıköy, Kartal, Çağlayan, Gaziosmanpaşa, Bakırköy şubeleri ve merkez bürosuyla hizmet sunmaktadır. Başvuru sırasında istenen belgeler; muhtardan alınacak fakirlik belgesi, muhtardan alınacak ikametgah belgesi, nüfus cüzdan fotokopisi, dava için gerekli belgelerin fotokopisidir. Aile içi şiddete uğrayan maddi durumu olmayan kişiler evrakları olmaksızın da kabul edilmekte bekleme olmaksızın ilgili avukata yönlendirilmekte eğer gerekiyorsa sığınma evlerine yönlendirilmektedirler. Adli yardım bürolarımızın iletişim bilgileri kitapçığımızın arkasında bulunmaktadır."
Eylemli ayrılık nedir?,"Boşanma davasında en önemli ispat araçlarından biri tanıklardır, ancak tanık beyanlarında, tanığın tarafların iddialarını taraflardan duymuş olması yeterli değildir, tarafların iddialarına ilişkin olayları bizzat görmüş ya da duymuş olmaları önemlidir. Hem tarafların hem tanıkların iddia ve beyanları tarafların boşanmalarına neden olan ve sonrasında eşlerin barışmaları ile neticelenmeyen olayların anlatımına ilişkin olmalıdır. Taraflar bahis edilen sorun hususunda daha sonra anlaşmışlar ise artık o hususlar mahkemenin konusu dışına çıkmaktadır."
Boşanma davası sürerken taraflardan biri ölürse davaya mirasçılar devam edebilir mi?,"Gerekli görüldüğünde psikologlardan rapor alınmaktadır, maddi hususlarda eşin kredi kartı ekstreleri varsa maaş bordrosu, banka hesap bilgileri, menkul gayrimenkul bilgileri, harcamalarına dair faturalar ekonomik taleplerinizin ispatı için önemlidir."
Boşanma davası sırasında velayetin verilmesinde esas alınan kriterler nelerdir?,"Fiziksel şiddet varsa sağlık raporları, fotoğraflar da önemlidir."
Mal rejimi nedir?,Boşanmaya sebep olan bu ve bunun gibi bilgisayar kayıtları ve sair her türlü bulgu delil teşkil edebilecektir.
Yasal mal rejimimi nedir? Önceki mal rejimimiz ne idi? Yeni mal rejimin yürürlük tarihi nedir?,"Uygulamada sıklıkla tarafların ister anlaşmalı boşanma protokollerinde olsun ister çekişmeli boşanma davalarında dava dilekçelerinde istemleri, diğer tarafın kendi adlarına olan tapuları kendi adlarına devretmeleri yönündedir keza mahkemeler de talep uyarınca “davalı” adına kayıtlı gayrimenkulün “ davacıya” devredilmesine karar vermektedirler, bu kararın sonunda davalı eş, gayrimenkulü devretmemekte ve bu nedenle ayrıca dava açmakta yüksek harçlar ödenmek mecburiyetinde kalınmaktadır ya da davalı devre yanaşsa dahi yine tapudaki harçlar davacı tarafa kalmakta sırf  bu nedenle karar uygulanamayabilmektedir. Oysa Yargıtay’ın da yerleşik içtihatları uyarınca Mahkemeden “davalı” adına kayıtlı gayrimenkulün tapusunun iptali ile “ davacı” adına tescili kararı verilebilmekte,  tapuya bu ilamla gidildiğinde son derece düşük ilam harcı ödemekle devir yapılabilmektedir. Bu nedenle bu hususa dikkat edilmesi gerekmektedir."
Yasal mal rejimi dışında seçimlik mal rejimleri nelerdir ?,"Nafakaya ilişkin kararı yerine getirmeyen borçlu aleyhine icra takibi başlatılıp maaş haczi istenebilir, maaşı bulunmuyorsa maddi malvarlığı, menkul gayrimenkul araç kayıtları ve varsa 3. Kişilerdeki alacakları üzerine gidilebilir. Tedbir nafakasına mahkemece ne zaman hükmedilirse hükmedilsin başlangıcı dava tarihi olacaktır yani tedbir nafakası geriye yürüyecek dava tarihinden itibaren icraya konu edilecektir."
Yasal mal rejimi ne zaman sona erer?,"2004 sayılı Kanun md. 344 (Değişik madde: 31/05/2005 – 5358 S.K./15. md.)
Nafakaya ilişkin kararların gereğini yerine getirmeyen borçlunun, alacaklının şikayeti üzerine, üç aya kadar tazyik hapsine karar verilir."
Edinilmiş mallara katılma rejimindeki tasfiyenin genel esasları nelerdir?,İcra takibi başlatıp sosyal hizmet memuru eşliğinde çocuk teslimine gidebilir aynı zamanda İİK madde 344 uyarınca icra ceza mahkemesinde açılacak dava ile hapis cezası verilecektir.
Edinilmiş mallar nelerdir?,"Medeni Kanunumuzun 178. maddesi uyarınca evliliğin boşanma sebebiyle sona ermesinden doğan dava hakları, boşanma hükmünün kesinleşmesinin üzerinden bir yıl geçmekle zamanaşımına uğrar. Bu nedenle boşanma davasında talep edilmemişse maddi, manevi tazminat ve nafaka istemleri boşanma kararının kesinleşmesinden sonra bir yıl içinde dava edilebilir. Boşanma kararının kesinleşmesinden itibaren geçen bir yılın sonunda bu istemler zamanaşımına uğrar."
Edinilmiş mallara eklenecek değerler nelerdir?,Eylemli ayrılık; açılmış bir boşanma davasının reddedilmesinden 3 yıl sonra evlilik birliği yeniden kurulamaması halinde mahkemede yeniden dava açıldığında bu sebeple boşanma kararı verilmesidir.
Kişisel mallar nelerdir?,"Boşanma davası sürerken davacı ölmüşse, mirasçıları devam edebilir. Davalının kusuru ispatlanırsa mirasçılık hakkını kaybeder. Mal rejimi açısından Medeni Kanunumuzun 236. Maddesinin 2. fıkrası uyarınca zina veya hayata kast nedeniyle boşanma hâlinde hâkim, kusurlu eşin artık değerdeki pay oranının hakkaniyete uygun olarak azaltılmasına veya kaldırılmasına karar verebilir."
Sağ kalan eşin miras payına mahsuben aile konutu olarak oturduğu ev üzerinde  mirasçılardan  intifa ya da oturma hakkını ve ev eşyası üzerinde mülkiyet hakkı tanınmasını talep hakkı var mıdır?,"Ayrılık ve boşanma durumunda velayetin düzenlenmesindeki amaç, küçüğün ileriye dönük yararlarıdır. Eş söyleyişle, velayetin düzenlenmesinde asıl olan, küçüğün yararını korumak ve geleceğini güvence altına almaktır."
Sağ kalan eşin miras hakkına mahsuben aile konutu üzerinde mülkiyet hakkının tanınmasını talep etme hakkı var mıdır?,"Velayet, kamu düzenine ilişkin olup bu hususta ana ile babanın istek ve beyanlarından ziyade çocuğun menfaatlerinin dikkate alınması zorunludur. Çocuğun yararı annesinde kalmasını gerektiriyor ancak annenin ekonomik gücü bulunmuyor ise babadan nafaka alınarak küçük yine annenin velayetine bırakılabilecektir."
Eşlerden biri öldüğünde sağ kalan eş miras hakkı ve mal rejimi kapsamında neler talep edebilir?,"Velayetin anne ya da babaya verilmesi, daha çok çocuğu ilgilendiren, onun menfaatine ilişkin bir husus olduğundan gerek Birleşmiş Milletler Çocuk Hakları Sözleşmesinin 12. ve Çocuk Haklarının Kullanılmasına İlişkin Avrupa Sözleşmesinin 3. ve 6.maddelerinde yer alan hükümler, gerekse velayete ilişkin yasal düzenlemeler karşısında, velayeti düzenlenen çocuğun, idrak çağında olması halinde, kendisini yakından ilgilendiren bu konuda ona danışılması ve görüşünün alınması gerekir."
Mal rejimi seçimi ne zaman yapılır?,"Eşlerin, evlilik öncesi sahip oldukları ve evlilik süresince edindikleri malvarlığını yönetme, yararlanma ve bunlar üzerinde her türlü işlem yapma usulleri ile evlilik sona erdiğinde nasıl paylaşılacağını belirleyen hukuk kurallarına mal rejimi denir."
2002 den önce yapılan bir evlilik 2002 den sonra boşanma ile sona erdiğinde malların tasfiyesi hangi rejime göre yapılır?,"Evlenmeden önce veya sonra, seçimlik mal rejimlerinden birini sözleşme yaparak seçmemiş olan eşlerin kanunen tabi olduğu sisteme yasal mal rejimi denir. 2002 yılında yürürlüğe giren Medeni Kanunda yasal mal rejimi “Edinilmiş Mallara Katılma rejimi”dir."
Eşlerden biri evlilik devam ederken öldüğünde örneğin A ile B evlendi. İki çocukları oldu. 10 yıl sonra A  öldü. Mal rejiminin tasfiyesi ve miras paylaşımı nasıl yapılır?,"2002’den önce yapılmış evliliklerde eşler 1 yıl içinde sözleşme yapmamışlarsa 2002’ye kadar önceki mal rejimlerine (kendileri bir sözleşme akdetmedilerse eski mal rejimi olan mal ayrılığı rejimi), 2002’den sonra ise yasal mal rejimine tabi olurlar. Yeni mal rejiminin yürürlük tarihi 01.01.2002’dir."
z
